date,state,county,cases,deaths
2020-03-06,Oklahoma,Tulsa,1,0
2020-03-07,Oklahoma,Tulsa,1,0
2020-03-08,Oklahoma,Tulsa,1,0
2020-03-09,Oklahoma,Tulsa,1,0
2020-03-10,Oklahoma,Tulsa,2,0
2020-03-11,Oklahoma,Tulsa,2,0
2020-03-12,Oklahoma,Tulsa,2,0
2020-03-13,Oklahoma,Oklahoma,1,0
2020-03-13,Oklahoma,Tulsa,2,0
2020-03-14,Oklahoma,Jackson,1,0
2020-03-14,Oklahoma,Oklahoma,1,0
2020-03-14,Oklahoma,Tulsa,2,0
2020-03-15,Oklahoma,Cleveland,1,0
2020-03-15,Oklahoma,Jackson,1,0
2020-03-15,Oklahoma,Kay,1,0
2020-03-15,Oklahoma,Oklahoma,1,0
2020-03-15,Oklahoma,Payne,1,0
2020-03-15,Oklahoma,Tulsa,3,0
2020-03-16,Oklahoma,Canadian,1,0
2020-03-16,Oklahoma,Cleveland,1,0
2020-03-16,Oklahoma,Jackson,1,0
2020-03-16,Oklahoma,Kay,1,0
2020-03-16,Oklahoma,Oklahoma,2,0
2020-03-16,Oklahoma,Payne,1,0
2020-03-16,Oklahoma,Tulsa,3,0
2020-03-17,Oklahoma,Canadian,2,0
2020-03-17,Oklahoma,Cleveland,1,0
2020-03-17,Oklahoma,Jackson,1,0
2020-03-17,Oklahoma,Kay,2,0
2020-03-17,Oklahoma,Oklahoma,6,0
2020-03-17,Oklahoma,Pawnee,1,0
2020-03-17,Oklahoma,Payne,1,0
2020-03-17,Oklahoma,Tulsa,4,0
2020-03-18,Oklahoma,Canadian,2,0
2020-03-18,Oklahoma,Cleveland,4,0
2020-03-18,Oklahoma,Jackson,1,0
2020-03-18,Oklahoma,Kay,2,0
2020-03-18,Oklahoma,Oklahoma,14,0
2020-03-18,Oklahoma,Pawnee,1,0
2020-03-18,Oklahoma,Payne,1,0
2020-03-18,Oklahoma,Tulsa,4,0
2020-03-19,Oklahoma,Canadian,2,0
2020-03-19,Oklahoma,Cleveland,9,0
2020-03-19,Oklahoma,Custer,1,0
2020-03-19,Oklahoma,Grady,1,0
2020-03-19,Oklahoma,Jackson,1,0
2020-03-19,Oklahoma,Kay,2,0
2020-03-19,Oklahoma,Logan,1,0
2020-03-19,Oklahoma,McClain,1,0
2020-03-19,Oklahoma,Oklahoma,18,0
2020-03-19,Oklahoma,Pawnee,1,0
2020-03-19,Oklahoma,Payne,1,0
2020-03-19,Oklahoma,Tulsa,5,1
2020-03-19,Oklahoma,Washington,1,0
2020-03-20,Oklahoma,Canadian,2,0
2020-03-20,Oklahoma,Cleveland,11,0
2020-03-20,Oklahoma,Custer,1,0
2020-03-20,Oklahoma,Garvin,1,0
2020-03-20,Oklahoma,Grady,1,0
2020-03-20,Oklahoma,Jackson,1,0
2020-03-20,Oklahoma,Kay,3,0
2020-03-20,Oklahoma,Logan,1,0
2020-03-20,Oklahoma,McClain,1,0
2020-03-20,Oklahoma,Oklahoma,19,0
2020-03-20,Oklahoma,Pawnee,1,0
2020-03-20,Oklahoma,Payne,1,0
2020-03-20,Oklahoma,Tulsa,5,1
2020-03-20,Oklahoma,Washington,1,0
2020-03-21,Oklahoma,Canadian,2,0
2020-03-21,Oklahoma,Cleveland,12,0
2020-03-21,Oklahoma,Custer,1,0
2020-03-21,Oklahoma,Garvin,2,0
2020-03-21,Oklahoma,Grady,1,0
2020-03-21,Oklahoma,Jackson,1,0
2020-03-21,Oklahoma,Kay,3,0
2020-03-21,Oklahoma,Logan,1,0
2020-03-21,Oklahoma,McClain,1,0
2020-03-21,Oklahoma,Oklahoma,20,0
2020-03-21,Oklahoma,Pawnee,2,0
2020-03-21,Oklahoma,Payne,1,0
2020-03-21,Oklahoma,Tulsa,5,1
2020-03-21,Oklahoma,Washington,1,0
2020-03-22,Oklahoma,Canadian,2,0
2020-03-22,Oklahoma,Cleveland,13,0
2020-03-22,Oklahoma,Custer,1,0
2020-03-22,Oklahoma,Garvin,2,0
2020-03-22,Oklahoma,Grady,1,0
2020-03-22,Oklahoma,Jackson,1,0
2020-03-22,Oklahoma,Kay,4,0
2020-03-22,Oklahoma,Logan,1,0
2020-03-22,Oklahoma,McClain,1,0
2020-03-22,Oklahoma,Muskogee,1,0
2020-03-22,Oklahoma,Noble,1,0
2020-03-22,Oklahoma,Oklahoma,26,0
2020-03-22,Oklahoma,Pawnee,3,1
2020-03-22,Oklahoma,Payne,2,0
2020-03-22,Oklahoma,Tulsa,6,1
2020-03-22,Oklahoma,Washington,2,0
2020-03-23,Oklahoma,Canadian,2,0
2020-03-23,Oklahoma,Cleveland,16,0
2020-03-23,Oklahoma,Custer,1,0
2020-03-23,Oklahoma,Garvin,2,0
2020-03-23,Oklahoma,Grady,1,0
2020-03-23,Oklahoma,Jackson,1,0
2020-03-23,Oklahoma,Kay,5,0
2020-03-23,Oklahoma,Logan,1,0
2020-03-23,Oklahoma,McClain,1,0
2020-03-23,Oklahoma,Muskogee,1,0
2020-03-23,Oklahoma,Noble,1,0
2020-03-23,Oklahoma,Oklahoma,29,0
2020-03-23,Oklahoma,Pawnee,3,1
2020-03-23,Oklahoma,Payne,3,0
2020-03-23,Oklahoma,Pontotoc,1,0
2020-03-23,Oklahoma,Tulsa,11,1
2020-03-23,Oklahoma,Washington,2,0
2020-03-24,Oklahoma,Canadian,4,0
2020-03-24,Oklahoma,Cleveland,22,1
2020-03-24,Oklahoma,Custer,1,0
2020-03-24,Oklahoma,Garvin,2,0
2020-03-24,Oklahoma,Grady,1,0
2020-03-24,Oklahoma,Jackson,1,0
2020-03-24,Oklahoma,Kay,5,0
2020-03-24,Oklahoma,Logan,1,0
2020-03-24,Oklahoma,Mayes,1,0
